Game Name,Intro,Expect,Video,Caption
Nickelodeon All-Star Brawl,"A fresh face to the Platform Fighter genre, Nickelodeon All-Star Brawl is actually the 7th game in its series but the first to ever make it to consoles. Nickelodeon's website has hosted multiple browser-based fighting games in the Brawl series alongside a Brawl release for the mobile, with Super Brawl 3 garnering millions of plays and winning a Webby award for Best Web Game that year. So All-Star Brawl isn't exactly coming out of nowhere, this series has seen a surprising amount of popularity over the past decade plus. ","Movement is not likely radically different from your standard Smash Bros inspired Platform Fighter, but there are some fun quirks. Instead of just an evasive move in the air, NASB gives you full on airdashes. However this are not purely horizontal movements, you can airdash downwards and doing so gives you different abilities. Airdashes are standardized, you have to wait 15 frames before you can perform an action out of them. But downward airdashes do not have this restriction, allowing you to act during the 15 frames. Between this and the speed of downward airdashes you can do more than just wavedash, like fast fall during combos to extend them by quickly getting to the platform and jumping again.",t-7Y2Yxw0TY,"Here is grand finals for NASB's coming out party at Combo Breaker 2022. April O'Neil is a wicked sick character as she has a unique resource that builds anytime she lands an attack with a camera flash. She can cash this out with her Breaking News special, a devastating kill move with super armor frame 1 if she has enough resources."
Nitroplus Blasterz: Heroines Infinite Duel,"Much like Aquapazza, Nitroplus Blasterz is a Main Character + Assist Partner fighter featuring characters from the Nitroplus catalog of works. These similarities should come as little surprise as developer EXAMU worked on both titles. Nitroplus Blasterz has a shockingly long history to it, able to be traced back to a doujin fighter from 2007 called Nitro Royale: Heroines Duel. Releasing in 2015 with HD 2D sprite work, you can look back to Nitro Royale and see so much of the cast from that game make it to the big time in Nitroplus Blasterz (and many who didn't become playable characters still show up as Partners)","Similar to other games like DFCI, Nitroplus Blasterz has a multi-use burst mechanic called Infinite Blast. What is different is that after you use your Infinite Blast you will temporarily go into a Blast state where various buffs become active. While in Blast state you slowly regain health and meter, attacks do slightly more hitstun, specials can be canceled into Evasive Actions, and most importantly, it locks out the ability for your opponent to activate their Infinite Blast while in hitstun. The duration of these effects is determined by what type of Infinite Blast you perform, if you Blast in neutral the duration is the longest, Blasting during your own combo has average length, and Blasting when in hitstun is the shortest.  ",ivGP_Y7ymrs,"Lolokoa put together a video tutorial explaining all the system mechanics behind Nitroplus Blasterz, including more that what we mentioned here like Vanishing Guard or Evasive Actions"
Persona 4 Ultimax,"Yet another step in Atlus' complete global saturation, this fighting game spinoff of Persona 4 saw multiple years of play and updates until a rather unfortunate split in the timeline happened. The most recent update had made it to Japanese arcades but was never going to come stateside, causing us to unfortunately be stuck in the past. However, thanks to the new Persona 4 Ultimax port we are all back on a level playing field and duking it out with our favorite (or least favorite, Ken I'm looking at you) Persona 4 and 3 characters.","True to its JRPG lineage, P4U has status effects that players can be afflicted with. Effects like Rage makes a player unable to block but gives 20% added damage, Panic reverses their left and right inputs, Silence disables Persona-related actions, and so on. Speaking of Personas, if you strike a player's Persona while it is out it will take 1 card of damage. If you remove all the Persona's cards, and each character has a different amount of cards for their Persona, they are Persona Broken and cannot use any actions relating to their Persona until their cards refill.",8FwNKJj26_E,"Persona being played offline again, nature is healing. This Top 8 features many of my favorite anime players from the Vancouver area like Psykotik, Drunk Suika, and Jive Turkey. "
Phantom Breaker Omnia,"After 10,000 years it's finally here. Originally supposed to come out stateside in April 2011, it was delayed until July 2011, and then to Q1 2012, and then it just plain didn't happen. So Omnia, the 4th version of Phantom Breaker, finally being released outside of Japan is a very big deal because back in the early 2010's people were waiting in anticipation for a North American release. This 2D anime fighter is somewhat of a spiritual successor to the Asuka 120% series, as after developers Fill-in-Cafe closed shop, series creator Masatoshi Imaizumi and Masaki Ukyo (of Guardian Heroes fame) teamed up to create Phantom Breaker. While crafty players have been able to get their hands on previous region-free versions, publisher Rocket Panda Games put in the effort to make sure Phantom Breaker Omnia ","You choose one of three Styles with your character, Quick, Hard, or Omnia. Quick style is the more agile suite of mechanics, allowing for extended combo routes, additional air movement, and faster dash speeds. Hard style lacks the pizzaz of Quick, but also lacks Quick's downsides, offering a better Guard Gauge, better Tension bonus, and better defensive attributes like having a parry instead of a spot dodge. Omnia style is the most limited style in so far as offering very few bells and whistles, but doubles the amount of meter that can be held. Mechanics can also change between styles, which the video below does a great job explaining.",9fbzc6CUdCM,"This official mechanics primer from Rocket Panda Games is the easiest way to figure out the universal mechanics to this game, of which there are many. Good to see the lady inside my GPS is still finding work after I set it to “mute”."
Power Rangers: Battle for the Grid,"It's not Marvel (baybee), it's Saban (baybee). Power Rangers BFTG wears its influences proudly on its sleeve as this 3v3 fighter solidly works within the foundation of Capcom's Versus series. No surprise to that, as Marvel vs Capcom legends like Clockw0rk, Shady K, and Justin Wong were brought in to help work on the game. Long combos that often lead to a dead character, incoming mixups that lesser mortals stand no chance against, this is a grimey Marvel game through and through.  ","Combos in BFTG are long processes, but the way they end is the most important thing to look for. If a combo hits one of its many (many) hard limits, the next attack of that type will cause a flipout. Flipout can also be caused universally by hitting someone with 5L during a combo. This is an important ender as the opponent will flash as they flip back to the ground, fully invincible but unable to reversal when they land. This means you can strategically flipout your opponent and then run a mix on them without the fear of a reversal stopping you from your fun.",fqqFKhUGDQ,"This combo guide is a couple years old, but the information it has is still worthwhile for understanding how combo limitations in BFTG work. And it's important to recognize those limits because combos will be a majority of what you see."
Project Justice,"Another popular Capcom IP that has sadly fallen by the wayside, Project Justice is the sequel to the first Rival Schools game, a 3 on 3 team fighter set in a highschool setting. While it hasn't seen much in terms of life since we entered the new Willenium, it remains a cult classic from Capcom's backlog and occasionally gets nods in modern games, like Batsu being in Tatsunoko vs Capcom or Akira being in Street Fighter V. There is still a scene for the game as it gets played in Japan and, with its more recent addition to Fightcade 2, has cropped up online a lot more often.  ","There are some preconceived notions about team games that don't happen in Project Justice. Your characters are not eliminated from the team with defeat and both the winner and the loser can change characters between rounds. This is because the team itself is more of a character as a whole, whoever your assists are can be used in Team-Up attacks that grant buffs to the point character. However the opponent can Team-Up Counter during this, which briefly has the two assist characters square off in a sudden death 5 second mini game. Both characters lose on a single hit and if it goes to time the Counter fails. ",6mW1Y1S5NC8,"AnimEvo 2019's Project Justice tournament ruled as not only did many Japanese players make it over to compete but しゃむ showed up cosplaying her character, Hinata, which is a total boss move."
Punch Planet,"I've used the term “doujin” a lot in this article, it's a Japanese term to describe independent releases, usually from a fandom. This is not a term specific to games as it can be applied to music, manga, etc, but we see it a lot with fan-made fighting games of established Japanese works. But not all of our indie fighters come from Japan, Punch Planet is an indie fighter from 3-person North American developers Sector-K. This sci-fi Street Fighter styled release is still under development, but has been building a name for itself with constant tournament appearances.","Punch Planet's primary mechanic is Time Cancel and its various permutations. Double Time Cancel operates like a Roman Cancel, allowing you to return to neutral after an attack connects. Absorb Time Cancel operates like 3rd Strike parry, negating the hitstun of an attack that strikes it. Finally, Jump Time Cancel is a universal overhead that can be held to become an empty jump instead. All of these Time Cancels cost meter to perform but Absorb and Jump Time Cancels do not require meter. If you have the meter stored up then it will deplete when used, but these can still be activated even if you do not have enough meter in that moment.",3woZgaCKQnM,"As Punch Planet is still in development, footage from 2019 is going to be outdated. But it's worth showing that Punch Planet is no stranger to the Evo weekend festivities."
Rushdown Revolt,"From developer Vortex Games? At Vortex Gallery? I smell collusion. Jokes aside, Rushdown Revolt is a free-to-play platform fighter birthed from the shell of a former game; Icons: Combat Arena. While characters from Icons are returning, visually and mechanically this is a total rehaul with characters being reworked as well. While it is undeniable that every game in this genre is walking a path carved by Smash Bros, Rushdown Revolt front ends a lot of differences in gameplay. Instead of the standard damage percentage, it works on a health bar with even the smallest attacks causing huge knockback when at zero HP. Shielding is only front-facing, so you are defenseless if facing the wrong way or if your opponent gets behind you. One of the best innovations it has to offer however, is its emphasis on combos.","Like most platform fighters, wavedashing is integrated into the game. In Rushdown Revolt's case it is called Rush and it is bound to its own button. Of course this is used the way all other games of its ilk use it, but Rush has some additional movement tech unique to this game. By doing up-forward or up-back and Rush you get a wide arcing but low height hyperhop (or “Jop”). You can also combine Rush with Spark to get Super Jumps, a much higher jump that allows you to dynamically control your momentum, so much so that you can arc back in on yourself within the Super Jump. Spark, the second half of that equation, is a resource that allows you to cancel actions into other actions, such as canceling into attacks, specials, and various forms of movement. The use of the Spark system, alongside a once-per-round Red Burst, can allow for massive combo chains that push the opponent far outside the safety of the stage.",3TwmNLpyjlA,"There is a staggering amount of tech to Rushdown Revolt and my brief description cannot do it justice (including the ability to bait and punish bursts like in anime games). Thankfully the developers put out a quick 5 part video series going over all the mechanics of the game. Those competing at Vortex Gallery should sharpen their skills to a point as it was recently announced that a $10,000 prize pool has been added to the tournament. And that's real money, not some Fartcoin nonsense. "
Samurai Shodown,"The beauty of cold steel leads to the sorrow of death. This reboot of the classic SNK Samurai Shodown series is a game of careful play, lest you be chopped to bits with the press of a button. While many of the movement options of past games have been scaled back to create a slower and more methodical system of play, the foundation of being punished greatly for your mistakes still rings true. Issen, Weapon Flipping Technique, and Super Special Moves are all highly damaging attacks that can melt the opponent's health bar with the blink of an eye, but also just getting caught by a st.C will deal so much damage that the hitstop is increased to let you sit there and think about what you did to lead to this situation. While hampered by its lack of acceptable netcode, this revival of a beloved franchise continues to show up offline where its game of inches can be played to maximum effectiveness.","When a weapon strike is blocked in this game, the attacker enters a recoil animation. Depending on how strong of an attack it was (A button strikes being quick and weak, C button strikes being lumbering and deadly) will determine how long the attacker is stuck in recoil and able to be punished. Act carefully though, as the attacker may not be able to defend while recoiling, but they can special cancel out of the recoil into one of their special moves. This creates a game of chicken, where each side may be looking for the other to act during a recoil as special moves are not likely going to be all that safe if blocked or whiffed. What circumvents this is that non-weapon attacks (typically attacks with the D button) do not incur recoil. However, outside of an earlier patch of this game where Haoh's 66A running punch was very powerful, bringing a fist to a swordfight might not have you with the advantage.",M9THEmTwBxQ,"The always-excellent SNK destination tournament Lunar Bout one again killed it when it came to Samurai Shodown, having a top 8 that was stuffed to the gills with some of the best players in the game today."
Soulcalibur VI,"The soul still burns, but with this being summer in Vegas maybe it could turn it down a notch or two. Just saying. The most recent release in the 3D weapon fighter series, it eschews some of the more radical design changes made in Soulcalibur V (SCV can be hit or miss and I absolutely find it a hit) while introducing its own radical design changes. While much has been said about the Rock-Paper-Scissors stylings of Reversal Edge, I think the far more interesting mechanic is Lethal Hits.","Lethal Hits are a series of unique interactions that grant you a combo opportunity when successfully hit, kind of like an even more specific counter hit. For example, Nightmare's While Standing B becomes Lethal Hit on counter hit, giving him a combo extension WS B wouldn't otherwise have. But these are not exclusive to just some hand-picked counter hits. Groh's 22/88B Lethal Hits on whiff punish and Kilik's Monument A Lethal Hits after successfully Guard Impacting an opponent. There are many different variables that lead to Lethal Hits across the cast, meaning that it is important to study what LHs your character can capitalize on, but also what LHs an opponent's character may be looking for as well.",iBYFO2Rq20g,"With Combo Breaker 2022 just wrapping, we have a very recent look into the competitive landscape of Soulcalibur VI. Its main game status is a testament to its continued popularity, but Evo only has so many slots so Vortex Gallery is happy to give them a place to play in Vegas."
Street Fighter Alpha 2,"Without being too blasphemous to the next entry, Alpha 2 is the standout release from the Alpha series (at least in America). The Alpha games are signified by their universal defensive mechanic, the Alpha Counter, a defensive moved used out of blockstun that became the brand name for such blockstun techniques moving forward. While it costs one bar of meter, it can turn the tables from defense to offense by knocking the opponent down and not allowing them to tech roll it. But if there is one thing Alpha 2 is remembered for (other than Rose being stupidly good) it would be the Valle CC.","Do you realize how good you have to be to have a technique named after you? In 1996, Alex Valle showed up to Battle of the Bay 3 (the event series that would become Evolution) and won the tournament over John Choi with liberal use of a technique soon to be known as the Valle CC. In Alpha 2 you can spend all your meter to enter a Custom Combo, where you get a brief amount of time to string together attacks almost free from restriction. It is in the activation of the Custom Combo where the Valle CC is found, as if your opponent is standing when you activate Custom Combo they cannot switch to blocking low for about 8-10 frames. This greatly changes footsies as with the right meter and spacing a Valle CC can unblockable any standing opponent.",4oAlPKKLplA,"Forgive the cheesecloth video, but this is 1996 we are dealing with. Regardless of graininess, you can see both Valle and Choi using the Valle CC to unblockable the standing opponent throughout the match. Also this is just a masterclass of footsies to watch."
Street Fighter Alpha 3,"The final in the Alpha line of Street Fighter games, Alpha 3 has in and of itself seen numerous updates and revisions, from its original vanilla arcade release, to a feature-packed PSP port with all the bells, whistles, and additional characters created along the way. Not only do you choose your character, but you choose what type of mechanics you want to be playing with as well, creating a deep roster of possibilities.","Alpha 3 has the precursor to Grooves in CvS2, called Isms. These three Isms not only offer different mechanics, but can sometimes even change the way characters normals and specials work. In execution however, there is only one choice. X-Ism blows, no air blocking, no Alpha Counters, only one super in the form of your level 3, it's just big damage and big guard bar. A-Ism is better, giving you the mechanics X-Ism is missing and segmenting the meter for more possible Supers. But all of this pales in comparison to V-Ism, which retains the mechanics A-Ism has but the almighty Custom Combo and only comes at the cost of doing less damage than the other Isms. If you find tournament footage for Alpha 3 you will see predominantly V-Ism usage because of how powerful access to Custom Combos are. ",GPzqod70Q4M,"This Alex Valle guy is really good at fighting games, if you didn't know. This broadcast recaps Daigo's 1998 trip to America where he ends up competing against Valle in Alpha 3. While the original SRK links to the event comments are dead, the video description includes Valle's comments from the tournament. Remember, you used to save your best tech for Nationals."
Street Fighter III: 3rd Strike,"Yeah, That Makes Sense. The final revision to the Street Fighter 3 series is one of the Mount Rushmore of fighting games; maintaining incredible popularity since release and still being one of the biggest tournament played games within Street Fighter as a whole. Between iconic moments from the past like Daigo's full parry on Justin Wong's super to current day tournament destination Cooperation Cup and its 5v5 team format, 3rd Strike has one of the richest histories in the FGC and I cannot imagine a world where it one day loses its steam.","The defining trait of not just 3rd Strike, but Street Fighter 3 as a whole, is the Parry. Instead of holding back to block an attack, you can tap forward (or down for a low Parry) on the stick to risk it for the biscuit and Parry an incoming attack. This high-risk/high-reward mechanic will remove blockstun and chip damage, keeping you alive and getting a punish depending on the situation. This radically changes how neutral is played, overly obvious pressure strings can be blown up if repeated too many times and sometimes you will see people just crouching a lot in an attempt to Parry any low pokes. ",OZLbOGB1a84,"The 3rd Strike Film Room is one of the coolest FGC series out there, going in depth on a selection of Japan's greatest 3rd Strike players and breaking down their techniques and decision-making. As someone who has been a Q player for over 15 years now, I am selfishly asking you to watch this breakdown of one of my favorite players ever; TM."
Street Fighter x Tekken,"In 2010, it was announced that two of the most recognizable faces in the fighting game genre were teaming up; Street Fighter and Tekken were not only making a crossover fighter but they were making TWO crossover fighters. The first of them was made by Capcom, called Street Fighter x Tekken, took much of the Tekken cast and put them in a 2D Street Fighter styled game. There was supposed to be a flip and reverse to this, as Bandai Namco was to make Tekken x Street Fighter where the Street Fighter cast would have to learn how to sidestep in 3D but that ended up not happening. Getting back to real life, this 2v2 tag fighter is one of the more juggle-heavy games to feature Street Fighter in the title, with the action being predicated on constant tagging in and out between your team as only one character needs to be KO'd for the round to end.","Let's talk about Gems. Originally a mechanic where you select a combination of three Gems that offer the benefits you would want the most while playing, seeing how the number of possible Gems is immense this is obviously unwieldy for competitive play and instead competitors pick from the default offered sets. Each Gem has an activation condition for its effect, such as getting 20% more Cross Gauge meter gain rate when your attack is blocked 4 times or getting 20% more damage when you tech a throw. These Gem activations all have time limits (usually 10 sec - 20 sec) and you can see them be activated by a swirling gemstone animation around the character followed by them having a colored outline for the duration of the effect.",WVJ6tdj4F8w,"Psychoblue is the champion of continued SFxT support and hosts multiple online events for the game as well as assisting in competitive information as he (alongside contributions from other players) has put out the massive 203-page Complete Dossier 5th Edition. <a href='https://drive.google.com/file/d/1aShrPvnqta3JKFZFMkdB65fmR4v7nLmt/view'>This gargantuan work</a> goes over every character in the game, briefly describing their strengths and weaknesses, while also giving combos and frame data."
Super Dragon Ball Z,"You didn't read that wrong, this is a different DBZ game from FighterZ. Released in 2005 for arcades and expanded with some new characters and mechanics in 2006 for Ps2, this is a more traditional 2D fighter in the sense that you have motion inputs for specials and some dial-a-combo strings for attacks. With dedicated communities in both Japan and America, don't be surprised if you see people crowded around a different Dragon Ball Z fighter than what you were expecting.","The most defining aspect of SDBZ happens on the character select screen, the Skill system. Each character has a Skill Tree of Skills that can be unlocked and rearranged for your character loadout. This can be special attacks you perform in battle or passive buffs that upgrade your stats or bestow additional mechanical benefits. With this aspect of the game being heavily personalized, gpbear4 will be at Vortex Gallery with sample memory cards and <a href='https://twitter.com/gpbear4/status/1539360635456081920'>can be reached for personal save files.</a>",ONpxgUL5spw,Gpbear4 is an incredibly good mascot for Super Dragon Ball Z in America and I would like to publicly apologize for being so busy at Combo Breaker 2022 that I couldn't run casuals with them. Here's some nasty combos from Japanese SDBZ promoter Whitefreeza. 
Super Street Fighter II Turbo,"If you can believe this, there was once a time in history where Super Turbo was described to be the “honest footsies and fundamentals” Street Fighter. That is obviously horseshit, Super Turbo is a game made for and played by depraved mad-people and that's why it rules. ST is the final (kinda) revision based on the original Street Fighter 2 and comes with it the advancements made along the way. Faster speed of play, Super meter for a highly damaging tool at your disposal, and the ability to pick old versions of the cast which doubles the roster. Super Turbo is where the foundational work that Street Fighter 2 laid shows up as juiced-up, jacked behemoths imposing their will against each other until someone crashes. Don't want to be stuck in a throw loop from Boxer? Consider not getting thrown then.","While the roster is doubled thanks to old versions being selectable, the most relevant old characters are O.Sagat, O.Ken, and O.Hawk. Old characters lose their super meter, so they need to be able to have substantial benefits to offset this. O.Sagat gets the best fireballs in the game with his Tiger Shots, O.Ken gets a DP that is invincible for a full calendar year, and O.Hawk gets a command grab with no whiff animation meaning he can tick throw OS by negative edging the command grab. The other characters you should expect to see are Boxer, who we already talked about with that whole throw loop nonsense (he's also just all around amazing), Dhalsim, who newer players may not realize can be a rushdown beast in this game with his tick throws and air drills, and Claw, who's walldive is incredibly hard to contest and has a walk speed that could outpace most Tour de France cyclists. There are many other relevant powerhouses in this game, like Chun, Dee Jay, or Ryu, but if we wanted to talk about what makes so much of this roster cool we would be here all day and I need to finish this article.",d0cFs5mHQC4,"As much as I was goofing at the beginning of this entry, there is still a large amount of fundamentals at play within Super Turbo. David Sirlin's beginner tutorial to Super Turbo is an amazing video that helps onboard anyone to the core ideas of what makes fighting games truly tick under the hood. This video is at least 15 years old so you might have to uh, squint. The compression is from the Before Times. "
Tatsunoko vs. Capcom Ultimate All-Stars,"Another stellar release from my favorite fighting game developer; Eighting. TvC is the black sheep of Capcom's Versus series, eschewing the Western appeal of Marvel comics for the Eastern appeal of Tatsunoko anime as well as only coming home to consoles on the Wii. While more of a cult classic, TvC has a very dedicated community behind it and is used to showing up in Chicago as TvC is frequently played at Frosty Faustings.","This is going to have to be split into two parts:

What To Expect Normally: TvC is a 2-on-2 team game and if you are used to any Marvel game it will look very familiar, just instead of Magneto you will see dudes with visors. The signature mechanic is called Baroque, a Roman Cancel-esque ability that spends your red health for more damage and combo extensions. You also can burst out of combos in this game, which costs two meters and a little bit of health. That said, the health it leaves is red health, so if you have no red health for Baroque, you can burst to get yourself the ability to Baroque again. 

What To Expect When A Giant Is On The Screen: Well, PTX-40A to be specific. TvC has two characters designated as Giants. These characters are multiple times larger than normal, are chosen as a single-entry character, and dramatically change how the game plays. They prominently feature armor, making them hard to hit but also very easy to counterpick with characters like Tekkaman who have hit grab attacks that ignore armor. Gold Lightan honestly blows so you won't see him, but PTX-40A has a chance of showing up.
",YnFGcuZF3_M,"I HAVE INFORMATION THAT WILL LEAD TO THE ARREST OF DOCTOR ""#BILLSWEEP"" SC1ENCE FOR HIS CRIMES OF RACKETEERING, TAX EVASION, AND RIGGING THE BRACKET SO I WAS HIS FIRST OPPONENT IN LOSERS AT COMBO BREAKER 2022."
Teenage Mutant Ninja Turtles Tournament Fighters,"There is some serious gold on the SNES when it comes to fighting games. Gundam Wing Endless Duel, Bishoujo Senhi Sailor Moon S, the system is not just where to find a good home version of Street Fighter 2. TMNT Tournament Fighters stands in line with those releases, being a fighting game well crafted enough to still be worth playing in the current years. It also was able to beat Street Fighter 2 to the idea of a Super meter, coming out a year before Super Turbo would introduce it to Street Fighter.","This is more of a What Not To Expect, as what makes TMNT Tournament Fighters stand out is just how solid it is. Not to decry other popular SNES fighters, but the aforementioned examples of Endless Duel and Sailor Moon S do have some more, kusoge elements let's say. Deathscythe infinite or incredibly broken tier Sailor Uranus by no means ruin those games, but they are things you need to accept. Tournament Fighters on the other hand is mostly jank-free, it has its top (Armaggon) and bottom (War) tiers like any game but otherwise it is just an incredibly well put together game in the Street Fighter 2 mold. Something you won't see too many of is different stages, as only a small handful are tournament legal due to the majority of stage backgrounds causing additional lag.",u714LYCamPA,"Combo Breaker likes to rotate in a niche game to its main tournament lineup every year, so for Combo Breaker 2019 we were graced with a TMNT Tournament Fighters bracket. And what a bracket it was. "
Tekken 5: Dark Resurrection,"Tekken 4 was…a rather different game. Nerfed backdash, increased juggle pushback, environmental interactions, position switch throws, uneven terrain, and Jin was decidedly Top 1 (Steve and Nina were relevant too). This was a huge departure after the golden years of Tekken 3 and Tag 1, so when Tekken 5 released it sought to be a return to form. Better movement, better juggle potential, and with the release of the Dark Resurrection update, better balance all combine to make this one of the most fondly remembered competitive Tekken releases.","This game is FAST. The pace of play is lightning quick in T5DR for a couple reasons. Movement is speedy and buttery smooth, allowing players to act both offensively and defensively in short manner. Juggles, while improved from T4, are so much shorter than future games where mechanics like Bound and Screw would be introduced. Throws are very fast, making them harder to break. This makes rounds cruise by in a breeze as once someone makes a connection, the damage is racked up in no time flat.",KPS0FgvFvCI,"For recent T5DR footage, peep this Top 4 from Electric Cancel. But make sure not to blink because it doesn't take long for Devil Jin to deplete a life bar."
TMNT x Justice League Turbo,"We just saw TMNT Tournament Fighters a couple entries ago and it was hard to not bury the lede on what it's popularity spawned. A spiritual successor to TMNT Tournament Fighters for SNES and Justice League Task Force for the Genesis, TMNT x JL Turbo is an independent work made in I.K.E.M.E.N. GO (A engine similar to and able to work with M.U.G.E.N.) that has far surpassed what any other fan work has been able to complete. Not only is the game just incredibly good, but it has featured collaborations from the original works, such as pixel artist Yoshiki Akasaka or old-school illustrators Tom duBois, Mick McGinty, and Jim Lawson creating a collaborative illustration for the game. The amount of love and detail that has gone into TMNT x JL Turbo is astonishing and the end result is an unbelievably good game styled after the 16bit classic fighters of the past.","There is a system at play called Omega Factor. The little Ω marker next to the life bar keeps track of how much Omega Factor you have. Omega Factor is gained by either getting the first hit of the round or not being hit for four in-game seconds. When you have Omega Factor (up to three levels can be stocked) you can expend it to perform Omega Specials, which are an incredibly important tool because Omega Specials do not count towards a combo's juggle limit. Proper use of Omega Factor can allow for combo extensions far beyond what is normally allowed and because Omega Factor is its own resource, you can still have your Super Attack armed and at the ready to be used as well. ",z273DVt7gKc,"There is a lot I wanted to put here. The Phil Nolan documentary about TMNTxJL Turbo and the Top 8 from Combo Breaker 2022 where TMNTxJL Turbo was a main game were both in contention, but in the end I wanted to make sure people saw Plasmasword's incredible work with the It's Not M.U.G.E.N. CMV. She brings TMNTxJL Turbo to life, showcasing just how far you can (sometimes artificially) push the juggle system in this game."
Touhou 12.3 Hisoutensoku,"If you know any Touhou fighting game, chances are it's Immaterial and Missing Power. Created in partnership with Twilight Frontier, the creators of Eternal Fighter Zero, it was the first but not the only Touhou fighting game they made together. The 12.3rd Touhou game, Hisoutensoku, is the 3rd fighting game made in the series and still holds a lot of the Shoot Em Up influences from the mainline bullet hell Touhou game, repackaged into fighting game interactions. Unlike games that are Shoot Em Ups first and Fighting Games second (like Senko no Ronde or Maiden & Spell), Hisoutensoku is a fighting game first and foremost and builds out from there with its Shoot Em up lineage.","Lots and lots of bullets. Hisoutensoku characters have ways to pump out ordinarily-obnoxious projectiles in a variety of patterns, but there is an easy way around them. Like in Shumps, you can “graze” through bullets by dashing, meaning that zoning is less of a lockdown of projectiles and more of a movement test for your opponent to pass if they want to get in. A vital mechanic you will see on occasion at the top of the screen is the changing of the weather. Weather states grant different effects to both characters equally. Sometimes these weather effects are minor, like Spellcard damage increased by 25% or all attacks getting 50% lifesteal, but some weather effects radically change the game, like both characters getting super armor and losing the ability to block. Weather changes every so often so the shape of the match can be dynamically changed depending on what weather effect is active.",qvoLjeW7kdY,"Hisoutensoku has had a good run of tournament appearances in the past couple years, showing up at Quarantined Rapport, Frosty Faustings 2022, and most recently Combo Breaker 2022. There is lots of tournament footage to graze (I have repeated this joke to see if my editor will laugh at it a second time) to get you prepared for its return to Vortex Gallery."
Ultimate Marvel vs. Capcom 3,"I'll stop yelling about 8ing when they stop making the best fighters. After their work on Tastunoko vs Capcom, 8ing took their experience (and their juggle animation) and were tasked with making the sequel to one of the most heralded games in FGC history. And they pulled it off. Ultimate Marvel vs Capcom 3 is one of the most successful sequels in my eyes as it both retains the groundwork as a natural expansion of MvC2 but also is able to form its own identity in a way that makes it unique. Much like how the rallying cry behind MvC2 was “Ten More Years”, UMvC3 dominated the landscape alongside Street Fighter 4 and was able to successfully pass the decade mark of popular tournament play. What a beautiful game.","Outside of common picks, like Zero and Vergil shells or Dr Doom with Hidden Missiles assist, one of UmvC3's defining traits is the TAC infinite. After a successful Team Aerial Combo (an air juggle attack that the opponent must guess one of 3 ways to counter), the game stops hitstun deterioration until someone touches the ground. However it is possible to get a combo route going where you touch the ground and jump again before the game successfully checks for you having briefly landed, meaning you can loop this combo infinitely as the hitstun never decreases and the game never sees you touching the ground.",e25ezERx7h0,"While there are incredibly stacked top tiers in UMvC3, even this many years into the game's life you still see outlier teams put up huge results. KaneBlueRiver's Big Body team, RyanLV's point Chun-li, and at Evo 2019 we got maybe the biggest outlier of them all, Sacktap running Ghost Rider/Haggar/Arthur. Ten More Years, baby."
Ultra Fight Da ! Kyanta 2,"To the untrained eye this may look like some MS Paint shitpost fueled by cocaine, and maybe you are not entirely wrong but Kyanta 2 is a far more competitively-played game than its nonsensical sound effects may imply. A 3v3 game with a ratio system for those who wish to play less characters, Kyanta 2 is an incredibly fast game with simple controls and a wealth of system mechanics to play with. It may not look like it, but this game is very easy to pick up and with a price of $free.99 and rollback netcode on the way it's worth your time to try out. We are Kinoko, yes even you, you just may not know it yet.","Across the cast there are many instances of unique air mobility, almost universally tied to air attacks. This creates a dynamic and vertical approach to neutral as there is no air blocking in this game either. Speaking of things missing, characters do not have pushboxes on them, meaning you can walk right through an opponent (this is more applicable when they are knocked down). As much as it may sound like this is setting up diabolical left/right mixes, Kyanta 2 has 3rd Strike parry so you can properly OS a parry/block situation. Honestly other than that just buckle up, this game goes fast and nutty real quick.",_MUtO_Tji4Y,"I have to give it up to the AnimEvo 2019 run of Kyanta 2 for not only being a great watch, but having the power couple of Ryyudo and MiniMatt on commentary dressed as Blues and Robo-Azuma respectively."
Ultra Street Fighter II,"Not the Ultra Street Fighter you were probably expecting, that one is up next. Ultra Street Fighter II is a Switch-exclusive revision to the game with a small amount of changes that place it somewhere between Super Turbo and HD Remix. It also brings out some old hidden characters from Street Fighter's past in the form of Evil Ryu and Violent Ken, and according to the rules page on the Vortex Gallery website they are not banned. ","Without being too terse, Ultra Street Fighter 2 is still very much just Street Fighter 2. Your expectations should be primarily no different than when we discussed Super Turbo. However there is one very prevalent change made in Ultra; you can tech throws. Traditionally in Street Fighter 2 the best you could do was soften the damage from a throw, but you were still getting grabbed. Now you can properly deny a throw from happening with the correct timing, meaning that strategies like Boxer's headbutt throw loop are gone.",AaOx4jcjRd0,"Honestly this was the only tournament footage of Ultra Street Fighter 2 I could find, but it's worth looking at because it shows Valle putting the boots to people with Violent Ken and Evil Ryu."
